MsgID.LOCAL_VELOCITY,27.8830000,-0.0288933,0.0224975,-3.8644938
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957519,37.7932808,7.6450000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0200000,-1.2900000
MsgID.LOCAL_POSITION,28.1340000,-0.0772031,-0.0039797,-7.6456642
MsgID.LOCAL_VELOCITY,28.1340000,-0.0271733,0.0211582,-1.2986587
MsgID.GLOBAL_POSITION,0.0000000,-122.3957517,37.7932805,7.6590000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0200000,0.0900000,1.0200000
MsgID.LOCAL_POSITION,28.3840000,-0.1106531,0.0139844,-7.6590595
MsgID.LOCAL_VELOCITY,28.3840000,-0.0246463,0.0933619,1.0276339
MsgID.GLOBAL_POSITION,0.0000000,-122.3957482,37.7932810,7.2890000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,0.9300000,1.7500000
MsgID.LOCAL_POSITION,28.6330000,-0.0611249,0.3275294,-7.2895212
MsgID.LOCAL_VELOCITY,28.6330000,-0.0191526,0.9335551,1.7592059
MsgID.GLOBAL_POSITION,0.0000000,-122.3957447,37.7932804,6.8790000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,2.5700000,0.9400000
MsgID.LOCAL_POSITION,28.8840000,-0.1192937,0.6379389,-6.8799424
MsgID.LOCAL_VELOCITY,28.8840000,-0.0122601,2.5757923,0.9423833
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957362,37.7932799,6.8510000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,4.5700000,-0.7100000
MsgID.LOCAL_POSITION,29.1330000,-0.1775207,1.3950620,-6.8510008
MsgID.LOCAL_VELOCITY,29.1330000,0.0080079,4.5740142,-0.7165827
MsgID.GLOBAL_POSITION,0.0000000,-122.3957190,37.7932811,7.0260000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,5.4400000,-0.3700000
MsgID.LOCAL_POSITION,29.3840000,-0.0443869,2.9232883,-7.0264401
MsgID.LOCAL_VELOCITY,29.3840000,0.0227628,5.4488020,-0.3707856
MsgID.GLOBAL_POSITION,0.0000000,-122.3957046,37.7932813,7.0110000
MsgID.LOCAL_VELOCITY,0.0000000,0.0200000,6.1000000,0.2200000
MsgID.LOCAL_POSITION,29.6350000,-0.0282505,4.2018790,-7.0118098
MsgID.LOCAL_VELOCITY,29.6350000,0.0235829,6.1033320,0.2257642
MsgID.GLOBAL_POSITION,0.0000000,-122.3956878,37.7932815,6.9620000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,7.1500000,0.0000000
MsgID.LOCAL_POSITION,29.8840000,-0.0024193,5.6976852,-6.9627833
MsgID.LOCAL_VELOCITY,29.8840000,0.0135865,7.1535354,-0.0090819
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3956650,37.7932827,6.9910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,8.0700000,-0.1500000
MsgID.LOCAL_POSITION,30.1350000,0.1292334,7.7234030,-6.9919944
MsgID.LOCAL_VELOCITY,30.1350000,0.0034841,8.0782986,-0.1527892
MsgID.GLOBAL_POSITION,0.0000000,-122.3956414,37.7932826,6.9990000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0300000,8.4800000,0.0600000
MsgID.LOCAL_POSITION,30.3850000,0.1243246,9.8198910,-6.9994450
MsgID.LOCAL_VELOCITY,30.3850000,-0.0351193,8.4849253,0.0673735
MsgID.GLOBAL_POSITION,0.0000000,-122.3956172,37.7932810,6.9840000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0700000,8.7200000,0.0500000
MsgID.LOCAL_POSITION,30.6360000,-0.0558409,11.9747105,-6.9844398
MsgID.LOCAL_VELOCITY,30.6360000,-0.0722508,8.7219687,0.0591402
MsgID.GLOBAL_POSITION,0.0000000,-122.3955920,37.7932808,6.9780000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0100000,8.8200000,0.0400000
MsgID.LOCAL_POSITION,30.8850000,-0.0799000,14.2176847,-6.9787602
MsgID.LOCAL_VELOCITY,30.8850000,-0.0136759,8.8219185,0.0454238
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3955669,37.7932819,6.9860000
MsgID.LOCAL_VELOCITY,0.0000000,0.0500000,8.8700000,-0.0300000
MsgID.LOCAL_POSITION,31.1360000,0.0447224,16.4467831,-6.9867778
MsgID.LOCAL_VELOCITY,31.1360000,0.0544617,8.8769226,-0.0387403
MsgID.GLOBAL_POSITION,0.0000000,-122.3955425,37.7932819,6.9910000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,8.3100000,-0.0100000
MsgID.LOCAL_POSITION,31.3860000,0.0483313,18.6173611,-6.9911542
MsgID.LOCAL_VELOCITY,31.3860000,0.0056703,8.3100042,-0.0105167
MsgID.GLOBAL_POSITION,0.0000000,-122.3955211,37.7932812,6.9820000
MsgID.LOCAL_VELOCITY,0.0000000,-0.0500000,6.5800000,0.0000000
MsgID.LOCAL_POSITION,31.6360000,-0.0361991,20.5117741,-6.9823813
MsgID.LOCAL_VELOCITY,31.6360000,-0.0521212,6.5804377,-0.0069422
MsgID.GLOBAL_POSITION,0.0000000,-122.3955048,37.7932823,6.9840000
MsgID.LOCAL_VELOCITY,0.0000000,0.2800000,5.1300000,-0.0300000
MsgID.LOCAL_POSITION,31.8860000,0.0923815,21.9675751,-6.9849896
MsgID.LOCAL_VELOCITY,31.8860000,0.2884952,5.1381307,-0.0365838
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3954897,37.7932825,6.9970000
MsgID.LOCAL_VELOCITY,0.0000000,1.5000000,4.1100000,-0.0400000
MsgID.LOCAL_POSITION,32.1360000,0.1142482,23.3033485,-6.9972281
MsgID.LOCAL_VELOCITY,32.1360000,1.5006932,4.1143293,-0.0425092
MsgID.GLOBAL_POSITION,0.0000000,-122.3954803,37.7932865,6.9900000
MsgID.LOCAL_VELOCITY,0.0000000,2.4500000,3.2100000,0.0100000
MsgID.LOCAL_POSITION,32.3860000,0.5519758,24.1402950,-6.9901729
MsgID.LOCAL_VELOCITY,32.3860000,2.4530299,3.2138958,0.0157607
MsgID.GLOBAL_POSITION,0.0000000,-122.3954746,37.7932945,6.9870000
MsgID.LOCAL_VELOCITY,0.0000000,3.3700000,2.2700000,-0.0100000
MsgID.LOCAL_POSITION,32.6360000,1.4460834,24.6472244,-6.9876628
MsgID.LOCAL_VELOCITY,32.6360000,3.3817809,2.2723043,-0.0133689
MsgID.GLOBAL_POSITION,0.0000000,-122.3954696,37.7933043,7.0000000
MsgID.LOCAL_VELOCITY,0.0000000,4.2300000,1.4300000,-0.0300000
MsgID.LOCAL_POSITION,32.8860000,2.5280335,25.0894775,-7.0001292
MsgID.LOCAL_VELOCITY,32.8860000,4.2329073,1.4316880,-0.0376660
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3954677,37.7933142,7.0060000
MsgID.LOCAL_VELOCITY,0.0000000,5.0200000,0.6100000,0.0400000
MsgID.LOCAL_POSITION,33.1370000,3.6281765,25.2620831,-7.0063801
MsgID.LOCAL_VELOCITY,33.1370000,5.0265851,0.6149791,0.0496845
MsgID.GLOBAL_POSITION,0.0000000,-122.3954670,37.7933256,6.9920000
MsgID.LOCAL_VELOCITY,0.0000000,5.7400000,-0.1000000,0.0800000
MsgID.LOCAL_POSITION,33.3870000,4.8962550,25.3276691,-6.9926744
MsgID.LOCAL_VELOCITY,33.3870000,5.7440891,-0.1071967,0.0831748
MsgID.GLOBAL_POSITION,0.0000000,-122.3954657,37.7933401,6.9990000
MsgID.LOCAL_VELOCITY,0.0000000,6.5300000,-0.8700000,-0.0100000
MsgID.LOCAL_POSITION,33.6360000,6.5145364,25.4427185,-6.9994931
MsgID.LOCAL_VELOCITY,33.6360000,6.5334411,-0.8808197,-0.0118911
MsgID.GLOBAL_POSITION,0.0000000,-122.3954692,37.7933532,6.9960000
MsgID.LOCAL_VELOCITY,0.0000000,7.1200000,-1.5100000,0.0600000
MsgID.LOCAL_POSITION,33.8860000,7.9643779,25.1329403,-6.9961572
MsgID.LOCAL_VELOCITY,33.8860000,7.1267695,-1.5141076,0.0666181
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3954768,37.7933713,6.9920000
MsgID.LOCAL_VELOCITY,0.0000000,7.8100000,-2.1500000,0.0000000
MsgID.LOCAL_POSITION,34.1360000,9.9785805,24.4540882,-6.9922223
MsgID.LOCAL_VELOCITY,34.1360000,7.8138509,-2.1539342,0.0076410
MsgID.GLOBAL_POSITION,0.0000000,-122.3954817,37.7933891,6.9950000
MsgID.LOCAL_VELOCITY,0.0000000,8.2100000,-2.4600000,0.0000000
MsgID.LOCAL_POSITION,34.3870000,11.9566622,24.0185413,-6.9959006
MsgID.LOCAL_VELOCITY,34.3870000,8.2193365,-2.4640005,0.0026624
MsgID.GLOBAL_POSITION,0.0000000,-122.3954890,37.7934087,6.9890000
MsgID.LOCAL_VELOCITY,0.0000000,8.3300000,-2.6600000,0.0300000
MsgID.LOCAL_POSITION,34.6380000,14.1379604,23.3713970,-6.9891796
MsgID.LOCAL_VELOCITY,34.6380000,8.3344469,-2.6637223,0.0310639
MsgID.GLOBAL_POSITION,0.0000000,-122.3954958,37.7934263,6.9860000
MsgID.LOCAL_VELOCITY,0.0000000,8.3500000,-2.7900000,0.0400000
MsgID.LOCAL_POSITION,34.8870000,16.0841904,22.7630787,-6.9865475
MsgID.LOCAL_VELOCITY,34.8870000,8.3570757,-2.7925730,0.0400331
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3955054,37.7934471,6.9900000
MsgID.LOCAL_VELOCITY,0.0000000,8.1600000,-2.8000000,-0.0100000
MsgID.LOCAL_POSITION,35.1380000,18.3986797,21.9134121,-6.9904366
MsgID.LOCAL_VELOCITY,35.1380000,8.1685038,-2.8048537,-0.0124247
MsgID.GLOBAL_POSITION,0.0000000,-122.3955132,37.7934639,6.9940000
MsgID.LOCAL_VELOCITY,0.0000000,6.8100000,-2.3500000,0.0400000
MsgID.LOCAL_POSITION,35.3870000,20.2667675,21.2172394,-6.9942627
MsgID.LOCAL_VELOCITY,35.3870000,6.8132520,-2.3527045,0.0497300
MsgID.GLOBAL_POSITION,0.0000000,-122.3955189,37.7934772,7.0030000
MsgID.LOCAL_VELOCITY,0.0000000,5.0400000,-2.0900000,0.0800000
MsgID.LOCAL_POSITION,35.6390000,21.7419815,20.7136631,-7.0035205
MsgID.LOCAL_VELOCITY,35.6390000,5.0472102,-2.0999565,0.0816772
MsgID.GLOBAL_POSITION,0.0000000,-122.3955246,37.7934866,6.9990000
MsgID.LOCAL_VELOCITY,0.0000000,4.1200000,-2.9100000,0.1300000
MsgID.LOCAL_POSITION,35.8900000,22.7831993,20.2035999,-6.9998260
MsgID.LOCAL_VELOCITY,35.8900000,4.1289282,-2.9164002,0.1308115
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957519,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3955361,37.7934935,6.9970000
MsgID.LOCAL_VELOCITY,0.0000000,3.1300000,-3.8700000,0.1100000
MsgID.LOCAL_POSITION,36.1400000,23.5576057,19.1827888,-6.9971695
